,log_rank_greater,hc_greater,fisher_greater,min_p_greater,berk_jones_greater,wilcoxon_greater,log_rank_less,hc_less,fisher_less,min_p_less,berk_jones_less,wilcoxon_less,mu,eps,beta,itr
3421,0.1408335938925918,5.985753620102318,3949.743569042819,9.822319927753586,7.471380398424282,0.5514793715942241,0.1408335938925918,-0.14153025635775573,3910.2334761019283,6.565271928529717,5.1960848305681955,0.8582504306510645,0.005559580850812226,0.00811610523253735,0.6333333333333333,54
3422,1.4370183037462811,12.237740418744396,3902.387561786219,12.623171205618375,7.580166784659377,8.429246746191248,1.4370183037462811,3.2116918044171054,4093.941884342544,9.837923058390695,4.862629919134492,0.00021840977816245486,0.007714073485873534,0.00811610523253735,0.6333333333333333,54
3423,0.12636744789508267,11.412861391416907,4094.045134632358,11.815705319060653,7.739693719841884,1.5501707120786385,0.12636744789508267,1.8531032453197165,4050.4832004414343,9.257783180771153,3.3731286078908997,0.23852593541922062,0.009386422122097223,0.00811610523253735,0.6333333333333333,54
3424,1.6148715472632247,33.27825133270237,3884.911667855198,14.612513673044582,11.405906646432728,10.64491146660943,1.6148715472632247,2.0905979386878246,4073.718562959867,8.314053580142678,3.120402866328235,2.3822035230168494e-05,0.010802912142701855,0.00811610523253735,0.6333333333333333,54
3425,3.971202429457642,81.15096195115095,4290.715750136221,14.612544483129367,14.507813410346722,43.46453365574915,3.971202429457642,2.6504251847364717,3998.4220810465467,8.121914849673615,4.671840848958016,-0.0,0.012054082348800937,0.00811610523253735,0.6333333333333333,54
3426,4.6310178402220545,50.15623580259941,4208.951086535722,16.200440259279706,14.487773444077138,65.92173172112717,4.6310178402220545,1.9183785978212458,3880.431614250679,9.292378499053893,8.136460409707036,-0.0,0.013187072904189667,0.00811610523253735,0.6333333333333333,54
3427,4.2025449734182825,19.42740751760116,4148.5173532890485,12.881048538006333,13.215327822290545,48.361209191411476,4.2025449734182825,1.0276663225184255,3826.6897169709578,8.373451248018076,5.307122309757776,-0.0,0.014230139925143126,0.00811610523253735,0.6333333333333333,54
3428,3.62711661125707,44.720102219474164,4205.518365065426,18.080118128440333,10.46160151364258,30.85504742696594,3.62711661125707,1.2955626519338321,3975.5921690120726,7.5130559877909,2.4400922147003516,3.974598428158139e-14,0.015201804919084164,0.00811610523253735,0.6333333333333333,54
3429,0.5575802043647955,4.113911936241672,4060.960503916066,10.507754655452754,4.842735641099603,1.8481542076184818,0.5575802043647955,2.9088058182450367,4022.373766660381,8.138980344765853,5.27654632993905,0.17141444992574328,0.0015201804919084164,0.004889663842714644,0.7,54
3430,0.18286921378291146,3.061517323096089,4143.908403669937,8.951660910119493,6.431385491462841,1.5528267959297153,0.18286921378291146,1.3194845108094067,3958.822804035906,8.839571578653015,6.813749225232449,0.23781165302558321,0.005559580850812226,0.004889663842714644,0.7,54
3431,-0.22523558864767454,2.1877704862023335,3946.23760234208,8.655622195980673,3.2576404908903656,0.22544155826171858,-0.22523558864767454,4.955228794201171,4042.0861257773367,9.6210279526528,4.708715689625598,1.6002983317304362,0.007714073485873534,0.004889663842714644,0.7,54
3432,0.6638830927115992,4.203783942373128,4005.5800953696084,10.577471367270096,3.283198788495467,2.59035717372815,0.6638830927115992,2.2038478783973674,4082.5306839310324,9.504128240554536,3.7256850816088183,0.07795424385593146,0.009386422122097223,0.004889663842714644,0.7,54
3433,2.670888721996264,3.926892080637674,4150.149489078469,9.417572740317462,4.696669772210803,15.715018698797818,2.670888721996264,2.069532189409884,3936.2903469736534,9.412332731590045,2.3406719812993817,1.4964221515791545e-07,0.010802912142701855,0.004889663842714644,0.7,54
3434,0.9405600404356388,25.895274592780506,4075.4939572514404,14.111998634804936,9.960270770286757,4.331302143828373,0.9405600404356388,0.6533363192760382,3976.4771781288846,6.8943742445457135,4.228098160313038,0.01323764488804337,0.012054082348800937,0.004889663842714644,0.7,54
3435,2.343332566954587,12.593162561416788,4038.832791998449,12.679701085447025,6.791091068344265,18.711635177182476,2.343332566954587,1.1718837390940526,3884.598021359251,8.203007054494774,7.5317298651295195,7.475497471229324e-09,0.013187072904189667,0.004889663842714644,0.7,54
3436,1.414694486680538,7.543704538232426,3966.297955005879,10.830088822310666,7.175476058886167,8.597788973590207,1.414694486680538,4.382911314587202,3898.7802873416404,9.811154938851223,5.109803333036805,0.00018453033145911452,0.014230139925143126,0.004889663842714644,0.7,54
3437,1.7932462735299712,44.72114277620398,4254.481703951168,19.838009871488293,12.138937947279787,17.795774540110276,1.7932462735299712,1.9512531456199416,4009.0258323417693,7.5929783560964115,2.610501328112634,1.86807074888513e-08,0.015201804919084164,0.004889663842714644,0.7,54
3438,-1.0468021736426618,1.1259550870914,3927.190540047641,8.674459315610356,3.2324691030410273,0.0005913811146459236,-1.0468021736426618,2.3945479536951795,3964.712945748168,8.876663434056983,3.18066275548907,7.433345560341656,0.0015201804919084164,0.0029458480157330703,0.7666666666666666,54
3439,0.0478553524433217,9.351066977411483,3968.118251114037,12.09436741020051,4.499002912410049,1.8956395957212273,0.0478553524433217,4.111455726717554,3900.0487555097,10.537445666437371,6.203836363772748,0.1627804022932103,0.005559580850812226,0.0029458480157330703,0.7666666666666666,54
3440,1.892599271313343,10.86343784974418,4250.4131920872405,12.388439678432297,5.9734930463628935,16.23496013223377,1.892599271313343,1.1069774907700043,3959.632724670637,6.9200769094364984,2.1566319081486216,8.897057964245902e-08,0.007714073485873534,0.0029458480157330703,0.7666666666666666,54
3441,-0.38117532123267467,3.462659948885655,3879.602976512096,9.110615539100001,5.145990924745209,0.10599214346433697,-0.38117532123267467,11.796816307035424,3979.044609840081,11.211802546411901,7.866897186723994,2.2969183241554623,0.009386422122097223,0.0029458480157330703,0.7666666666666666,54
3442,0.5911165204546386,18.305043090208862,4060.2966165637163,13.421196461870029,6.438670295812214,3.930036424123405,0.5911165204546386,1.8486292790805974,4007.7498302227577,7.1649615623328575,3.7203564600243135,0.01983844414138882,0.010802912142701855,0.0029458480157330703,0.7666666666666666,54
3443,0.5967193010201747,17.42385517289333,4141.366489758356,13.323136845640153,5.723716286838393,2.217196865171054,0.5967193010201747,7.281972013583188,4066.0175550801487,11.608389367369035,5.380338420033152,0.11531431509500674,0.012054082348800937,0.0029458480157330703,0.7666666666666666,54
