,itr,T,N1,N2,beta,r,log_rank_greater,hc_greater,fisher_greater,min_p_greater,berk_jones_greater,wilcoxon_greater,log_rank_less,hc_less,fisher_less,min_p_less,berk_jones_less,wilcoxon_less
0,1,2000,1000,1000,0.45,0.0,2.201927627685718,2.2164238334315924,4058.5874916855064,9.512566763438107,2.954408384693674,7.460793310107076,0.11719670654022646,4.0044777092841075,3972.7814574124486,8.25328169498872,5.235145124687322,0.0005753651695207401
1,1,2000,1000,1000,0.45,0.09999999999999999,6.039472115677977,2.5102142795026974,4170.118433980766,6.678885121762878,6.229405616268237,22.730104396382185,0.002385659857993922,1.4914683931222952,3844.7027011081836,8.980289299123978,6.619382696551966,1.344129252435617e-10
2,1,2000,1000,1000,0.45,0.19999999999999998,1.7464831746176708,2.498855593583588,4020.4099045184867,7.560130948204182,4.35938709122829,4.776660840716135,0.19162811107885233,1.9278879792709356,4082.760061471442,6.571941646556293,4.743861661686467,0.008459764518542311
3,1,2000,1000,1000,0.45,0.3,9.698323274212171,3.8850123470926015,4251.208495266428,8.03524668341258,8.959277477922031,54.44975991208711,6.138822108265372e-05,1.6612814118106576,3864.873311219265,8.39624102320849,4.924177945478434,-0.0
4,1,2000,1000,1000,0.45,0.39999999999999997,5.978527251918477,3.5820535654825605,4121.4716112307915,8.01559414278287,6.616683755688532,27.150080800981286,0.002535765698160813,2.843283104099338,3977.4210738857246,9.901855278713798,2.3505874512876397,1.6175949468801613e-12
5,1,2000,1000,1000,0.45,0.49999999999999994,14.136045621301149,3.6194538207780043,4270.980852369197,7.773067595978274,7.681238063172192,72.71489094230618,7.257608686445346e-07,1.2741364758106049,3884.141832397352,6.306069518449823,4.559843287537405,-0.0
6,1,2000,1000,1000,0.45,0.6,19.15639919833864,5.906210257317458,4272.6635807242155,9.155372102283659,11.293040269525596,82.56515840770878,4.791610786303363e-09,0.47539424435364336,3882.9148062617433,6.554152512525812,2.850400272390517,-0.0
7,1,2000,1000,1000,0.45,0.7,17.981196872417012,10.304404645446315,4226.08675093727,11.950763941150084,14.08629230483707,85.16484617510157,1.5519060379515502e-08,1.7703567999181937,3970.185882002924,6.77936631507579,3.1618430430431257,-0.0
8,1,2000,1000,1000,0.45,0.7999999999999999,22.650789403031318,9.448676060605667,4187.592914812874,10.666139949756642,14.493858054238029,107.72579352611811,1.4550805006400858e-10,1.9333516084939413,3981.1245249404765,9.31606479843432,2.0062494819427936,-0.0
9,1,2000,1000,1000,0.45,0.8999999999999999,43.38529076584439,17.762218732794565,4614.787302711407,13.361357498961938,14.50833835090159,175.59334779895067,-0.0,0.3596267159910948,3826.3250298779076,7.341681665958331,6.614723249762401,-0.0
10,1,2000,1000,1000,0.45,0.9999999999999999,27.97158188553763,15.321457269180993,4367.790366895355,12.111121739307361,14.502985281848181,128.4504828155746,7.113198918775907e-13,2.1029316114330174,3901.8402675438265,8.792138296703905,5.085807515011365,-0.0
